match,date,team1,team1Total,team2,team2Total,winner,ground
Match 1,5/30/2019,England,311,South Africa,207,England,"Kennington Oval, London"
Match 2,5/31/2019,Pakistan,105,West Indies,108,West Indies,"Trent Bridge, Nottingham"
Match 3,6/1/2019,New Zealand,137,Sri Lanka,136,New Zealand,"Sophia Gardens, Cardiff"
Match 4,6/1/2019,Afghanistan,207,Australia,209,Australia,"County Ground, Bristol"
Match 5,6/2/2019,Bangladesh,330,South Africa,309,Bangladesh,"Kennington Oval, London"
Match 6,6/3/2019,England,334,Pakistan,348,Pakistan,"Trent Bridge, Nottingham"
Match 7,6/4/2019,Afghanistan,152,Sri Lanka,201,Sri Lanka,"Sophia Gardens, Cardiff"
Match 8,6/5/2019,India,230,South Africa,227,India,"The Rose Bowl, Southampton"
Match 9,6/5/2019,Bangladesh,244,New Zealand,248,New Zealand,"Kennington Oval, London"
Match 10,6/6/2019,West Indies,273,Australia,288,Australia,"Trent Bridge, Nottingham"
Match 11,6/7/2019,Pakistan,0,Sri Lanka,0,Abandoned,"County Ground, Bristol"
Match 12,6/8/2019,England,386,Bangladesh,280,England,"Sophia Gardens, Cardiff"
Match 13,6/8/2019,Afghanistan,172,New Zealand,173,New Zealand,"The Cooper Associates County Ground, Taunton"
Match 14,6/9/2019,Australia,316,India,352,India,"Kennington Oval, London"
Match 15,6/10/2019,South Africa,29,West Indies,0,No Result,"The Rose Bowl, Southampton"
Match 16,6/11/2019,Bangladesh,0,Sri Lanka,0,Abandoned,"County Ground, Bristol"
Match 17,6/12/2019,Australia,307,Pakistan,266,Australia,"The Cooper Associates County Ground, Taunton"
Match 18,6/13/2019,India,0,New Zealand,0,Abandoned,"Trent Bridge, Nottingham"
Match 19,6/14/2019,England,213,West Indies,212,England,"The Rose Bowl, Southampton"
Match 20,6/15/2019,Australia,334,Sri Lanka,247,Australia,"Kennington Oval, London"
Match 21,6/15/2019,Afghanistan,125,South Africa,131,South Africa,"Sophia Gardens, Cardiff"
Match 22,6/16/2019,India,336,Pakistan,212,India,"Old Trafford, Manchester"
Match 23,6/17/2019,Bangladesh,322,West Indies,321,West Indies,"The Cooper Associates County Ground, Taunton"
Match 24,6/18/2019,England,397,Afghanistan,247,England,"Old Trafford, Manchester"
Match 25,6/19/2019,New Zealand,245,South Africa,241,New Zealand,"Edgbaston, Birmingham"
Match 26,6/20/2019,Australia,381,Bangladesh,333,Australia,"Trent Bridge, Nottingham"
Match 27,6/21/2019,England,212,Sri Lanka,232,Sri Lanka,"Headingley, Leeds"
Match 28,6/22/2019,Afghanistan,213,India,224,India,"The Rose Bowl, Southampton"
Match 29,6/22/2019,New Zealand,291,West Indies,286,New Zealand,"Old Trafford, Manchester"
Match 30,6/23/2019,Pakistan,308,South Africa,259,Pakistan,"Lord's, London"
Match 31,6/24/2019,Afghanistan,200,Bangladesh,262,Bangladesh,"The Rose Bowl, Southampton"
Match 32,6/25/2019,England,221,Australia,285,Australia,"Lord's, London"
Match 33,6/26/2019,New Zealand,237,Pakistan,241,Pakistan,"Edgbaston, Birmingham"
Match 34,6/27/2019,India,268,West Indies,143,India,"Old Trafford, Manchester"
Match 35,6/28/2019,South Africa,206,Sri Lanka,203,South Africa,"Riverside Ground, Chester-Le-Street"
Match 36,6/29/2019,Afghanistan,227,Pakistan,230,Pakistan,"Headingley, Leeds"
Match 37,6/29/2019,Australia,143,New Zealand,157,Australia,"Lord's, London"
Match 38,6/30/2019,England,337,India,306,England,"Edgbaston, Birmingham"
Match 39,7/1/2019,Sri Lanka,338,West Indies,315,Sri Lanka,"Riverside Ground, Chester-Le-Street"
Match 40,7/2/2019,Bangladesh,286,India,314,India,"Edgbaston, Birmingham"
Match 41,7/3/2019,England,305,New Zealand,186,England,"Riverside Ground, Chester-Le-Street"
Match 42,7/4/2019,Afghanistan,288,West Indies,311,West Indies,"Headingley, Leeds"
Match 43,7/5/2019,Bangladesh,221,Pakistan,315,Pakistan,"Lord's, London"
Match 44,7/6/2019,India,265,Sri Lanka,264,India,"Headingley, Leeds"
Match 45,7/6/2019,Australia,315,South Africa,325,South Africa,"Old Trafford, Manchester"
Semi Final 1,7/9/2019,India,221,New Zealand,239,New Zealand,"Old Trafford, Manchester"
Semi Final 2,7/11/2019,England,226,Australia,223,England,"Edgbaston, Birmingham"
Final,7/14/2019,England,241,New Zealand,241,England,"Lord's, London"
